Order,Family,Host,Hantavirus (Name in paper),Scientific Name,ICTV,NewOld,Year,Ssegment,Msegment,Lsegment,In Millholand review?,References
Rodentia,Cricetidae,Neotoma mexicana,El Moro Canyon,Orthohantavirus moroense,No,new,1994,U11427.1,U26828.1,,Yes,Hjelle et al. (1994)
Rodentia,Cricetidae,Peromyscus maniculatus, El Moro Canyon,Orthohantavirus moroense,No,new,1994,U11427.1,U26828.1,,Yes,"Childs et al. (1994), Schmaljohn et al. (1995), Rawlings et al. (1996), Song et al. (1996), Drebot et al. (2001), Sinclair et al. (2007)"
Rodentia,Cricetidae,Reithrodontomys megalotis,El Moro Canyon,Orthohantavirus moroense,No,new,1994,U11427.1,U26828.1,,Yes,"Hjelle et al. (1994, 1995a), Kariwa et al. (2012)"
Rodentia,Muridae,Rattus rattus, Guo,Orthohantavirus seoulense,Yes,old,2011,,KC344269.1,KC344252.1,Yes,"Elwell et al. (1985) Wang et al. (2000), Reynes et al. (2003, 2014), Medina et al. (2009), Johansson et al. (2010), Luis et al. (2010), Zhang et al. (2007), (2010)"
Rodentia,Muridae,Apodemus agrarius, Hantaan,Orthohantavirus hantanense,Yes,old,1986,M14626.1,M14627.1,X55901.1,Yes,"Lee et al. (1978, 1982a, b), Plyusnin et al. (1997, 2003), Nemirov et al. (1999), Klempa et al. (2003b), Sironen et al. (2005), Plyusnin et al. (2006), Jakab et al. (2007), Li et al. (2007), Schlegel et al. (2009), Liu et al. (2012), Klempa et al. (2013)"
Rodentia,Muridae,Niviventer confucianus, Hantaan,Orthohantavirus hantanense,Yes,old,1986,M14626.1,M14627.1,X55901.1,Yes,Wang et al. (2000)
Rodentia,Muridae,Rattus tanezumi,Hantaan,Orthohantavirus hantanense,Yes,old,1986,M14626.1,M14627.1,X55901.1,Yes,"Chin et al. (2000)m, Plyusnina et al. (2009b), Johansson et al. (2010), Blasdell et al. (2011)"
Rodentia,Cricetidae,Myodes rufocanus, Hokkaido,Orthohantavirus puumalaense,Yes,old,2008,AB675463.1,AB676848.1,AB712372.1,Yes,"Kariwa et al. (1995), Zhang et al. (2007), Dekonenko et al. (2003)"
Rodentia,Cricetidae,Peromyscus beatae,Huitzilac ,Orthohantavirus carrizalense,Yes,new,2006,AB620106.1,AB620107.1,AB620108.1,Yes,Kariwa et al. (2012) Saasa et al. (2012)
Rodentia,Cricetidae,Reithrodontomys megalotis, Huitzilac ,Orthohantavirus carrizalense,Yes,new,2006,AB620106.1,AB620107.1,AB620108.1,Yes,"Hjelle et al. (1994, 1995a), Kariwa et al. (2012)"
Rodentia,Cricetidae,Microtus californicus, Isla Vista,other orthohantavirus,No,new,1994,U31535.1,U31533.1,,Yes,"Song et al. (1995), Turell et al. (1995)"
Rodentia,Cricetidae,Peromyscus californicus,Isla Vista ,other orthohantavirus,No,new,1994,U31535.1,U31533.1,,Yes,"Song et al. (1995), Luis et al. (2010)"
Rodentia,Cricetidae,Akodon montensis, Jabora ,Orthohantavirus andesense,Yes,new,2007,EF495338.1,,,Yes,"Chu et al. (2006), Goodin et al. (2009), Raboni et al. (2009, 2012), Araujo et al. (2011), de Oliveira et al. (2011), Guterres et al. (2014)"
Rodentia,Cricetidae,Akodon paranaensis, Jabora,Orthohantavirus andesense,Yes,new,2007,EF495338.1,,,Yes,"de Oliveira et al. (2012), Raboni et al. (2012), Guterres et al. (2014)"
Rodentia,Cricetidae,Akodon serrensis,Jabora,Orthohantavirus andesense,Yes,new,2007,EF495338.1,,,Yes,Raboni et al. (2012)
Rodentia,Cricetidae,Akodon cursor,Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,Padula et al. (2007)
Rodentia,Cricetidae,Akodon montensis, Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,"Chu et al. (2006), Goodin et al. (2009), Raboni et al. (2009, 2012), Araujo et al. (2011), de Oliveira et al. (2011), Guterres et al. (2014)"
Rodentia,Cricetidae,Akodon paranaensis, Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,"de Oliveira et al. (2012), Raboni et al. (2012), Guterres et al. (2014)"
Rodentia,Cricetidae,Necromys lasiurus, Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,"Johnson et al. (1999), Suzuki et al. (2004), Figueiredo et al. (2009)"
Rodentia,Cricetidae,Oligoryzomys fornesi, Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,"Rosa et al. (2005), Chu et al. (2009), Guterres et al. (2014)"
Rodentia,Cricetidae,Oligoryzomys nigripes, Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,"Vasconcelos et al. (1997), Chu et al. (2003), Suzuki et al. (2004), Raboni et al. (2005), (2009), Padula et al. (2007), Delfraro et al. (2008), Vadell et al. (2011), de Araujo et al. (2012)"
Rodentia,Cricetidae,Oligoryzomys stramineus,Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,Figueiredo et al. (2009)
Rodentia,Cricetidae,Oxymycterus nasutus,Juquitiba-like,Orthohantavirus andesense,Yes,new,,AY963900.1,,,Yes,Delfraro et al. (2008)
Rodentia,Cricetidae,Oxymycterus quaestor, Juquitiba,Orthohantavirus andesense,Yes,new,2001,AY963900.1,,,Yes,"Raboni et al. (2012), Guterres et al. (2014)"
Rodentia,Muridae,Rattus tanezumi, Jurong,other orthohantavirus,No,old,2005,GQ274940.1,GQ274938.1,GQ274936.1,Yes,"Chin et al. (2000)m, Plyusnina et al. (2009b), Johansson et al. (2010), Blasdell et al. (2011)"
Rodentia,Cricetidae,Microtus fortis,Khabarovsk,Orthohantavirus khabarovskense,Yes,old,2011,KJ857342.1,KJ857338.1,KJ857321.1,Yes,"Hörling et al. (1996), Kariwa et al. (1999), Zou et al. (2008)"
Rodentia,Cricetidae,Microtus maximowiczii,Khabarovsk,Orthohantavirus khabarovskense,Yes,old,2011,KJ857342.1,KJ857338.1,KJ857321.1,Yes,Zou et al. (2008)
Rodentia,Cricetidae,Microtus oeconomus,Khabarovsk,Orthohantavirus khabarovskense,Yes,old,2011,KJ857342.1,KJ857338.1,KJ857321.1,Yes,"Plyusnina et al. (2008b), Luis et al. (2013)"
